0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033128 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000004 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033129 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
0.000000 0.000000 0.000000, -0.000005 -0.000000 0.020000, -0.033130 -0.000000 0.070000, 
