0.000898907771528 -0.000653094724769 0.054874980215218 , 0.000515028323958 -0.001585094193825 0.054714045207910 , 0.001348361657292 -0.000979642087154 0.054714045207910 
0.000898907771528 -0.000653094724769 0.054874980215218 , 0.001111111111111 0.000000000000000 0.054874980215218 , 0.001348361657292 -0.000979642087154 0.054714045207910 
0.001111111111111 0.000000000000000 0.054874980215218 , 0.001348361657292 -0.000979642087154 0.054714045207910 , 0.001666666666667 0.000000000000000 0.054714045207910 
0.001666666666667 0.000000000000000 0.054714045207910 , 0.001348361657292 0.000979642087154 0.054714045207910 , 0.002222222222222 0.000000000000000 0.054479032082388 
0.001348361657292 0.000979642087154 0.054714045207910 , 0.002222222222222 0.000000000000000 0.054479032082388 , 0.001797815543055 0.001306189449539 0.054479032082388 
0.001348361657292 0.000979642087154 0.054714045207910 , 0.000515028323958 0.001585094193825 0.054714045207910 , 0.001797815543055 0.001306189449539 0.054479032082388 
0.000515028323958 0.001585094193825 0.054714045207910 , 0.001797815543055 0.001306189449539 0.054479032082388 , 0.000686704431944 0.002113458925100 0.054479032082388 
0.000515028323958 0.001585094193825 0.054714045207910 , -0.000515028323958 0.001585094193825 0.054714045207910 , 0.000686704431944 0.002113458925100 0.054479032082388 
-0.000515028323958 0.001585094193825 0.054714045207910 , 0.000686704431944 0.002113458925100 0.054479032082388 , -0.000686704431944 0.002113458925100 0.054479032082388 
-0.000515028323958 0.001585094193825 0.054714045207910 , -0.001348361657292 0.000979642087154 0.054714045207910 , -0.000686704431944 0.002113458925100 0.054479032082388 
-0.001348361657292 0.000979642087154 0.054714045207910 , -0.000686704431944 0.002113458925100 0.054479032082388 , -0.001797815543055 0.001306189449539 0.054479032082388 
-0.001348361657292 0.000979642087154 0.054714045207910 , -0.001666666666667 0.000000000000000 0.054714045207910 , -0.001797815543055 0.001306189449539 0.054479032082388 
-0.001666666666667 0.000000000000000 0.054714045207910 , -0.001797815543055 0.001306189449539 0.054479032082388 , -0.002222222222222 0.000000000000000 0.054479032082388 
-0.001666666666667 0.000000000000000 0.054714045207910 , -0.001348361657292 -0.000979642087154 0.054714045207910 , -0.002222222222222 0.000000000000000 0.054479032082388 
-0.001348361657292 -0.000979642087154 0.054714045207910 , -0.002222222222222 0.000000000000000 0.054479032082388 , -0.001797815543055 -0.001306189449539 0.054479032082388 
-0.001348361657292 -0.000979642087154 0.054714045207910 , -0.000515028323958 -0.001585094193825 0.054714045207910 , -0.001797815543055 -0.001306189449539 0.054479032082388 
-0.000515028323958 -0.001585094193825 0.054714045207910 , -0.001797815543055 -0.001306189449539 0.054479032082388 , -0.000686704431944 -0.002113458925100 0.054479032082388 
-0.000515028323958 -0.001585094193825 0.054714045207910 , 0.000515028323958 -0.001585094193825 0.054714045207910 , -0.000686704431944 -0.002113458925100 0.054479032082388 
0.000515028323958 -0.001585094193825 0.054714045207910 , -0.000686704431944 -0.002113458925100 0.054479032082388 , 0.000686704431944 -0.002113458925100 0.054479032082388 
0.000515028323958 -0.001585094193825 0.054714045207910 , 0.001348361657292 -0.000979642087154 0.054714045207910 , 0.000686704431944 -0.002113458925100 0.054479032082388 
0.001348361657292 -0.000979642087154 0.054714045207910 , 0.000686704431944 -0.002113458925100 0.054479032082388 , 0.001797815543055 -0.001306189449539 0.054479032082388 
0.001348361657292 -0.000979642087154 0.054714045207910 , 0.001666666666667 0.000000000000000 0.054714045207910 , 0.001797815543055 -0.001306189449539 0.054479032082388 
0.001666666666667 0.000000000000000 0.054714045207910 , 0.001797815543055 -0.001306189449539 0.054479032082388 , 0.002222222222222 0.000000000000000 0.054479032082388 
0.002222222222222 0.000000000000000 0.054479032082388 , 0.001797815543055 0.001306189449539 0.054479032082388 , 0.002777777777778 0.000000000000000 0.054157397096415 
0.001797815543055 0.001306189449539 0.054479032082388 , 0.002777777777778 0.000000000000000 0.054157397096415 , 0.002247269428819 0.001632736811924 0.054157397096415 
0.001797815543055 0.001306189449539 0.054479032082388 , 0.000686704431944 0.002113458925100 0.054479032082388 , 0.002247269428819 0.001632736811924 0.054157397096415 
0.000686704431944 0.002113458925100 0.054479032082388 , 0.002247269428819 0.001632736811924 0.054157397096415 , 0.000858380539930 0.002641823656375 0.054157397096415 
0.000686704431944 0.002113458925100 0.054479032082388 , -0.000686704431944 0.002113458925100 0.054479032082388 , 0.000858380539930 0.002641823656375 0.054157397096415 
-0.000686704431944 0.002113458925100 0.054479032082388 , 0.000858380539930 0.002641823656375 0.054157397096415 , -0.000858380539930 0.002641823656375 0.054157397096415 
-0.000686704431944 0.002113458925100 0.054479032082388 , -0.001797815543055 0.001306189449539 0.054479032082388 , -0.000858380539930 0.002641823656375 0.054157397096415 
-0.001797815543055 0.001306189449539 0.054479032082388 , -0.000858380539930 0.002641823656375 0.054157397096415 , -0.002247269428819 0.001632736811924 0.054157397096415 
-0.001797815543055 0.001306189449539 0.054479032082388 , -0.002222222222222 0.000000000000000 0.054479032082388 , -0.002247269428819 0.001632736811924 0.054157397096415 
-0.002222222222222 0.000000000000000 0.054479032082388 , -0.002247269428819 0.001632736811924 0.054157397096415 , -0.002777777777778 0.000000000000000 0.054157397096415 
-0.002222222222222 0.000000000000000 0.054479032082388 , -0.001797815543055 -0.001306189449539 0.054479032082388 , -0.002777777777778 0.000000000000000 0.054157397096415 
-0.001797815543055 -0.001306189449539 0.054479032082388 , -0.002777777777778 0.000000000000000 0.054157397096415 , -0.002247269428819 -0.001632736811924 0.054157397096415 
-0.001797815543055 -0.001306189449539 0.054479032082388 , -0.000686704431944 -0.002113458925100 0.054479032082388 , -0.002247269428819 -0.001632736811924 0.054157397096415 
-0.000686704431944 -0.002113458925100 0.054479032082388 , -0.002247269428819 -0.001632736811924 0.054157397096415 , -0.000858380539930 -0.002641823656375 0.054157397096415 
-0.000686704431944 -0.002113458925100 0.054479032082388 , 0.000686704431944 -0.002113458925100 0.054479032082388 , -0.000858380539930 -0.002641823656375 0.054157397096415 
0.000686704431944 -0.002113458925100 0.054479032082388 , -0.000858380539930 -0.002641823656375 0.054157397096415 , 0.000858380539930 -0.002641823656375 0.054157397096415 
0.000686704431944 -0.002113458925100 0.054479032082388 , 0.001797815543055 -0.001306189449539 0.054479032082388 , 0.000858380539930 -0.002641823656375 0.054157397096415 
0.001797815543055 -0.001306189449539 0.054479032082388 , 0.000858380539930 -0.002641823656375 0.054157397096415 , 0.002247269428819 -0.001632736811924 0.054157397096415 
0.001797815543055 -0.001306189449539 0.054479032082388 , 0.002222222222222 0.000000000000000 0.054479032082388 , 0.002247269428819 -0.001632736811924 0.054157397096415 
0.002222222222222 0.000000000000000 0.054479032082388 , 0.002247269428819 -0.001632736811924 0.054157397096415 , 0.002777777777778 0.000000000000000 0.054157397096415 
0.002777777777778 0.000000000000000 0.054157397096415 , 0.002247269428819 0.001632736811924 0.054157397096415 , 0.003333333333333 0.000000000000000 0.053726779962500 
0.002247269428819 0.001632736811924 0.054157397096415 , 0.003333333333333 0.000000000000000 0.053726779962500 , 0.002696723314583 0.001959284174308 0.053726779962500 
0.002247269428819 0.001632736811924 0.054157397096415 , 0.000858380539930 0.002641823656375 0.054157397096415 , 0.002696723314583 0.001959284174308 0.053726779962500 
0.000858380539930 0.002641823656375 0.054157397096415 , 0.002696723314583 0.001959284174308 0.053726779962500 , 0.001030056647916 0.003170188387651 0.053726779962500 
0.000858380539930 0.002641823656375 0.054157397096415 , -0.000858380539930 0.002641823656375 0.054157397096415 , 0.001030056647916 0.003170188387651 0.053726779962500 
-0.000858380539930 0.002641823656375 0.054157397096415 , 0.001030056647916 0.003170188387651 0.053726779962500 , -0.001030056647916 0.003170188387651 0.053726779962500 
-0.000858380539930 0.002641823656375 0.054157397096415 , -0.002247269428819 0.001632736811924 0.054157397096415 , -0.001030056647916 0.003170188387651 0.053726779962500 
-0.002247269428819 0.001632736811924 0.054157397096415 , -0.001030056647916 0.003170188387651 0.053726779962500 , -0.002696723314583 0.001959284174308 0.053726779962500 
-0.002247269428819 0.001632736811924 0.054157397096415 , -0.002777777777778 0.000000000000000 0.054157397096415 , -0.002696723314583 0.001959284174308 0.053726779962500 
-0.002777777777778 0.000000000000000 0.054157397096415 , -0.002696723314583 0.001959284174308 0.053726779962500 , -0.003333333333333 0.000000000000000 0.053726779962500 
-0.002777777777778 0.000000000000000 0.054157397096415 , -0.002247269428819 -0.001632736811924 0.054157397096415 , -0.003333333333333 0.000000000000000 0.053726779962500 
-0.002247269428819 -0.001632736811924 0.054157397096415 , -0.003333333333333 0.000000000000000 0.053726779962500 , -0.002696723314583 -0.001959284174308 0.053726779962500 
-0.002247269428819 -0.001632736811924 0.054157397096415 , -0.000858380539930 -0.002641823656375 0.054157397096415 , -0.002696723314583 -0.001959284174308 0.053726779962500 
-0.000858380539930 -0.002641823656375 0.054157397096415 , -0.002696723314583 -0.001959284174308 0.053726779962500 , -0.001030056647916 -0.003170188387651 0.053726779962500 
-0.000858380539930 -0.002641823656375 0.054157397096415 , 0.000858380539930 -0.002641823656375 0.054157397096415 , -0.001030056647916 -0.003170188387651 0.053726779962500 
0.000858380539930 -0.002641823656375 0.054157397096415 , -0.001030056647916 -0.003170188387651 0.053726779962500 , 0.001030056647916 -0.003170188387651 0.053726779962500 
0.000858380539930 -0.002641823656375 0.054157397096415 , 0.002247269428819 -0.001632736811924 0.054157397096415 , 0.001030056647916 -0.003170188387651 0.053726779962500 
0.002247269428819 -0.001632736811924 0.054157397096415 , 0.001030056647916 -0.003170188387651 0.053726779962500 , 0.002696723314583 -0.001959284174308 0.053726779962500 
0.002247269428819 -0.001632736811924 0.054157397096415 , 0.002777777777778 0.000000000000000 0.054157397096415 , 0.002696723314583 -0.001959284174308 0.053726779962500 
0.002777777777778 0.000000000000000 0.054157397096415 , 0.002696723314583 -0.001959284174308 0.053726779962500 , 0.003333333333333 0.000000000000000 0.053726779962500 
0.003333333333333 0.000000000000000 0.053726779962500 , 0.002696723314583 0.001959284174308 0.053726779962500 , 0.003888888888889 0.000000000000000 0.053142696805274 
0.002696723314583 0.001959284174308 0.053726779962500 , 0.003888888888889 0.000000000000000 0.053142696805274 , 0.003146177200347 0.002285831536693 0.053142696805274 
0.002696723314583 0.001959284174308 0.053726779962500 , 0.001030056647916 0.003170188387651 0.053726779962500 , 0.003146177200347 0.002285831536693 0.053142696805274 
0.001030056647916 0.003170188387651 0.053726779962500 , 0.003146177200347 0.002285831536693 0.053142696805274 , 0.001201732755903 0.003698553118926 0.053142696805274 
0.001030056647916 0.003170188387651 0.053726779962500 , -0.001030056647916 0.003170188387651 0.053726779962500 , 0.001201732755903 0.003698553118926 0.053142696805274 
-0.001030056647916 0.003170188387651 0.053726779962500 , 0.001201732755903 0.003698553118926 0.053142696805274 , -0.001201732755903 0.003698553118926 0.053142696805274 
-0.001030056647916 0.003170188387651 0.053726779962500 , -0.002696723314583 0.001959284174308 0.053726779962500 , -0.001201732755903 0.003698553118926 0.053142696805274 
-0.002696723314583 0.001959284174308 0.053726779962500 , -0.001201732755903 0.003698553118926 0.053142696805274 , -0.003146177200347 0.002285831536693 0.053142696805274 
-0.002696723314583 0.001959284174308 0.053726779962500 , -0.003333333333333 0.000000000000000 0.053726779962500 , -0.003146177200347 0.002285831536693 0.053142696805274 
-0.003333333333333 0.000000000000000 0.053726779962500 , -0.003146177200347 0.002285831536693 0.053142696805274 , -0.003888888888889 0.000000000000000 0.053142696805274 
-0.003333333333333 0.000000000000000 0.053726779962500 , -0.002696723314583 -0.001959284174308 0.053726779962500 , -0.003888888888889 0.000000000000000 0.053142696805274 
-0.002696723314583 -0.001959284174308 0.053726779962500 , -0.003888888888889 0.000000000000000 0.053142696805274 , -0.003146177200347 -0.002285831536693 0.053142696805274 
-0.002696723314583 -0.001959284174308 0.053726779962500 , -0.001030056647916 -0.003170188387651 0.053726779962500 , -0.003146177200347 -0.002285831536693 0.053142696805274 
-0.001030056647916 -0.003170188387651 0.053726779962500 , -0.003146177200347 -0.002285831536693 0.053142696805274 , -0.001201732755903 -0.003698553118926 0.053142696805274 
-0.001030056647916 -0.003170188387651 0.053726779962500 , 0.001030056647916 -0.003170188387651 0.053726779962500 , -0.001201732755903 -0.003698553118926 0.053142696805274 
0.001030056647916 -0.003170188387651 0.053726779962500 , -0.001201732755903 -0.003698553118926 0.053142696805274 , 0.001201732755903 -0.003698553118926 0.053142696805274 
0.001030056647916 -0.003170188387651 0.053726779962500 , 0.002696723314583 -0.001959284174308 0.053726779962500 , 0.001201732755903 -0.003698553118926 0.053142696805274 
0.002696723314583 -0.001959284174308 0.053726779962500 , 0.001201732755903 -0.003698553118926 0.053142696805274 , 0.003146177200347 -0.002285831536693 0.053142696805274 
0.002696723314583 -0.001959284174308 0.053726779962500 , 0.003333333333333 0.000000000000000 0.053726779962500 , 0.003146177200347 -0.002285831536693 0.053142696805274 
0.003333333333333 0.000000000000000 0.053726779962500 , 0.003146177200347 -0.002285831536693 0.053142696805274 , 0.003888888888889 0.000000000000000 0.053142696805274 
0.003888888888889 0.000000000000000 0.053142696805274 , 0.003146177200347 0.002285831536693 0.053142696805274 , 0.004444444444444 0.000000000000000 0.052290614236454 
