-0.000178 0.000729 0.019298, -0.166278 0.782274 -0.600333
-0.000260 0.000654 0.019236, -0.325287 0.730608 -0.600333
-0.000326 0.000676 0.019298, -0.325288 0.730608 -0.600333
-0.000391 0.000585 0.019236, -0.470082 0.647012 -0.600333
-0.000459 0.000593 0.019298, -0.470081 0.647012 -0.600333
-0.000504 0.000491 0.019236, -0.594330 0.535138 -0.600333
-0.000573 0.000485 0.019298, -0.594330 0.535137 -0.600333
-0.000595 0.000376 0.019236, -0.692604 0.399875 -0.600333
-0.000661 0.000355 0.019298, -0.692604 0.399875 -0.600333
-0.000660 0.000244 0.019236, -0.760608 0.247137 -0.600333
-0.000720 0.000210 0.019298, -0.760608 0.247137 -0.600333
-0.000696 0.000101 0.019236, -0.795369 0.083597 -0.600333
-0.000748 0.000056 0.019298, -0.795369 0.083596 -0.600333
-0.000702 -0.000046 0.019236, -0.795369 -0.083597 -0.600333
-0.000743 -0.000101 0.019298, -0.795369 -0.083596 -0.600333
-0.000677 -0.000191 0.019236, -0.760608 -0.247137 -0.600333
-0.000706 -0.000254 0.019298, -0.760608 -0.247137 -0.600333
-0.000623 -0.000327 0.019236, -0.692604 -0.399875 -0.600333
-0.000638 -0.000395 0.019298, -0.692604 -0.399875 -0.600333
-0.000541 -0.000450 0.019236, -0.594330 -0.535138 -0.600333
-0.000542 -0.000519 0.019298, -0.594330 -0.535137 -0.600333
-0.000436 -0.000552 0.019236, -0.470082 -0.647011 -0.600333
-0.000422 -0.000620 0.019298, -0.470081 -0.647012 -0.600333
-0.000311 -0.000631 0.019236, -0.325288 -0.730609 -0.600333
-0.000284 -0.000694 0.019298, -0.325288 -0.730608 -0.600333
-0.000173 -0.000682 0.019236, -0.166278 -0.782274 -0.600333
-0.000133 -0.000738 0.019298, -0.166278 -0.782274 -0.600333
-0.000028 -0.000703 0.019236, 0.000000 -0.799750 -0.600333
0.000023 -0.000750 0.019298, -0.000000 -0.799750 -0.600333
0.000119 -0.000693 0.019236, 0.166278 -0.782274 -0.600333
0.000178 -0.000729 0.019298, 0.166278 -0.782274 -0.600333
0.000260 -0.000654 0.019236, 0.325287 -0.730608 -0.600333
0.000326 -0.000676 0.019298, 0.325288 -0.730608 -0.600333
0.000391 -0.000585 0.019236, 0.470082 -0.647012 -0.600333
